timestamp en.m.wikipedia.org en.wikipedia.org en.wikipedia.org.total en.wikipedia.org.daily_visits en.wikipedia.org.newUsers en.wikipedia.org.donations
1451606400 36871371 16713892 53585263 234271982 6344 428334.52
1451692800 38210753 19084365 57295118 258962263 7924 45509.27
1451779200 39646423 20599836 60246259 265276913 8077 35473.58
1451865600 34474065 26221251 60695316 269330004 9016 37748.91
1451952000 33527399 27089791 60617190 263841110 8933 26878.47
1452038400 33215960 26824155 60040115 262656618 9268 20872.76
1452124800 33321132 27274473 60595605 260283606 9157 18392.47
1452211200 33730738 26267766 59998504 252844185 8783 18399.35
1452297600 36511128 21265518 57776646 245587830 7878 12855.24
1452384000 39508769 25138321 64647090 267691389 8996 16549.8
1452470400 37823693 33948902 71772595 296901690 10073 15260.51
1452556800 34869981 29518325 64388306 272247505 10173 13668.95
1452643200 33464651 28435979 61900630 264684802 8751 29364.99
1452729600 34131243 28328603 62459846 265062630 8683 12046.83
1452816000 33708496 26040125 59748621 252608966 9095 16561.98
1452902400 36783403 19895376 56678779 244441245 8639 16472.84
1452988800 39987528 20956270 60943798 265446747 8320 14295.2
1453075200 36211418 27578171 63789589 276171426 9159 11501.46
1453161600 34433250 29441556 63874806 275603217 9575 13511.18
1453248000 33421001 28762259 62183260 265544825 9084 13360.42
1453334400 33088576 28622068 61710644 263782691 8827 13543.09
1453420800 33660521 28123768 61784289 258477861 7124 23487.09
1453507200 36537512 20876308 57413820 248002891 7468 10364.06
1453593600 39919666 21668760 61588426 271086304 8156 9826.28
1453680000 36645567 29094001 65739568 281303675 9339 18358.47
1453766400 35023472 29209456 64232928 271010141 9406 12478.75
1453852800 33886013 29655792 63541805 268653701 9287 10160.65
1453939200 33443506 29283366 62726872 262267936 8465 8756.79
1454025600 33262368 27077215 60339583 253457572 7069 8432.04
1454112000 35806474 20448753 56255227 244539875 7752 11034.86
1454198400 39328065 22005155 61333220 271974703 8038 8971.25
